date,home_team,away_team,home_goals,away_goals,match_importance_tier
2018-04-20,England,Germany,4,1,CONFED_CAMP
2025-01-13,Tunisia,Ecuador,1,0,FRIENDLY
2019-08-20,Colombia,Portugal,0,1,FRIENDLY
2022-08-30,USA,Brazil,2,4,QUALIFIER
2019-10-02,Morocco,Ghana,0,0,QUALIFIER
2022-09-05,Morocco,Qatar,1,0,FRIENDLY
2021-08-22,Spain,Portugal,3,0,QUALIFIER
2019-05-13,Cameroon,Morocco,1,2,QUALIFIER
2019-12-30,Canada,Germany,4,4,FRIENDLY
2018-10-16,Argentina,England,0,0,WC_FINAL
2025-05-23,South Korea,Canada,3,0,QUALIFIER
2025-09-25,Morocco,Germany,3,3,FRIENDLY
2020-02-05,Iran,South Korea,2,1,QUALIFIER
2025-12-07,Spain,Mexico,1,2,WC_FINAL
2020-05-02,Serbia,Switzerland,0,1,QUALIFIER
2021-04-13,Senegal,Uruguay,8,1,CONFED_CAMP
2018-11-27,Brazil,Ecuador,0,1,CONFED_CAMP
2019-08-25,Mexico,Germany,1,0,QUALIFIER
2020-09-21,Japan,Saudi Arabia,1,1,QUALIFIER
2022-09-16,Croatia,Mexico,1,0,QUALIFIER
2022-06-02,USA,Mexico,2,1,QUALIFIER
2024-03-05,Tunisia,Argentina,0,0,QUALIFIER
2021-05-05,Cameroon,Portugal,1,1,QUALIFIER
2025-02-04,Serbia,Belgium,0,0,QUALIFIER
2018-02-04,Tunisia,Uruguay,2,1,QUALIFIER
2022-03-03,Senegal,Costa Rica,12,0,CONFED_CAMP
2020-01-30,Brazil,Netherlands,4,4,CONFED_CAMP
2024-10-16,Argentina,Ghana,0,0,FRIENDLY
2020-01-30,Tunisia,Colombia,1,1,CONFED_CAMP
2023-02-01,Switzerland,Argentina,0,0,QUALIFIER
2025-01-30,Portugal,Costa Rica,0,0,FRIENDLY
2021-04-22,Canada,Ghana,3,1,QUALIFIER
2018-02-01,England,Ecuador,1,3,CONFED_CAMP
2025-01-20,Ecuador,Argentina,2,0,QUALIFIER
2023-04-15,Portugal,Qatar,1,2,FRIENDLY
2020-08-09,Denmark,Netherlands,0,0,QUALIFIER
2018-03-30,South Korea,Netherlands,0,3,FRIENDLY
2018-06-16,Canada,Spain,1,0,QUALIFIER
2024-07-10,Denmark,Ghana,4,0,CONFED_CAMP
2020-10-31,Cameroon,Senegal,0,0,FRIENDLY
2025-07-17,France,Portugal,0,1,WC_FINAL
2020-12-11,Ecuador,Switzerland,2,0,CONFED_CAMP
2020-10-17,Poland,USA,7,3,QUALIFIER
2021-04-01,Senegal,Mexico,1,1,QUALIFIER
2025-01-12,England,Brazil,8,1,QUALIFIER
2025-02-12,Denmark,Netherlands,0,0,QUALIFIER
2022-03-03,Mexico,Poland,1,2,CONFED_CAMP
2019-05-09,Australia,Denmark,3,3,QUALIFIER
2019-07-26,Ecuador,Cameroon,0,6,QUALIFIER
2026-04-29,Tunisia,England,1,0,QUALIFIER
2025-10-16,Uruguay,Qatar,0,1,QUALIFIER
2018-09-04,Ghana,Ecuador,1,1,CONFED_CAMP
2023-07-23,Belgium,England,2,0,WC_FINAL
2023-04-16,Denmark,Canada,0,0,FRIENDLY
2018-09-30,Portugal,Denmark,1,2,WC_FINAL
2018-06-18,South Korea,Canada,7,0,FRIENDLY
2025-03-07,Senegal,Germany,2,2,CONFED_CAMP
2024-06-04,Senegal,France,1,0,CONFED_CAMP
2023-03-03,Switzerland,Australia,0,3,CONFED_CAMP
2022-09-24,Colombia,Argentina,1,1,QUALIFIER
2025-12-13,Argentina,Uruguay,0,2,CONFED_CAMP
2020-02-05,Ghana,Cameroon,0,3,FRIENDLY
2022-05-12,Colombia,Qatar,4,0,QUALIFIER
2020-06-20,France,Ghana,0,0,FRIENDLY
2024-07-30,Belgium,Australia,0,0,WC_FINAL
2025-02-06,Portugal,Saudi Arabia,1,0,QUALIFIER
2026-05-02,Saudi Arabia,Germany,2,2,QUALIFIER
2024-11-13,Portugal,Senegal,5,1,FRIENDLY
2021-12-17,Tunisia,Iran,2,3,CONFED_CAMP
2025-10-25,Colombia,Iran,4,1,QUALIFIER
2025-11-24,Costa Rica,England,0,0,QUALIFIER
2018-06-22,Croatia,Belgium,3,1,CONFED_CAMP
2018-01-16,Senegal,Canada,2,1,CONFED_CAMP
2022-10-19,Germany,Denmark,5,1,QUALIFIER
2020-06-24,Iran,France,1,0,QUALIFIER
2019-02-24,Portugal,Uruguay,4,0,QUALIFIER
2023-02-10,Uruguay,Spain,2,0,WC_FINAL
2018-07-01,France,Serbia,6,0,CONFED_CAMP
2023-11-19,Cameroon,France,0,0,FRIENDLY
2020-10-26,Ecuador,Australia,4,1,QUALIFIER
2021-11-09,Japan,Croatia,1,0,QUALIFIER
2024-03-10,USA,Canada,1,2,QUALIFIER
2026-02-15,Ghana,Belgium,1,4,FRIENDLY
2022-08-16,Qatar,Iran,0,0,QUALIFIER
2018-12-17,Portugal,Japan,0,0,CONFED_CAMP
2019-09-22,Tunisia,England,0,3,QUALIFIER
2018-11-12,Colombia,Denmark,0,0,WC_FINAL
2020-01-09,Japan,Qatar,2,5,QUALIFIER
2021-02-16,Cameroon,Uruguay,1,3,FRIENDLY
2019-03-16,Senegal,France,0,0,FRIENDLY
2022-12-15,Iran,Spain,0,0,QUALIFIER
2018-03-09,South Korea,Brazil,0,0,CONFED_CAMP
2022-08-26,Japan,England,0,2,QUALIFIER
2026-04-03,Canada,Colombia,2,0,FRIENDLY
2019-05-14,Australia,Netherlands,4,0,CONFED_CAMP
2026-04-08,Cameroon,Germany,0,1,QUALIFIER
2025-11-21,Senegal,Germany,4,2,FRIENDLY
2020-09-10,USA,Ecuador,7,1,QUALIFIER
2020-08-14,Serbia,Costa Rica,0,1,QUALIFIER
2019-12-03,Mexico,Canada,0,2,QUALIFIER
2021-09-05,Serbia,Morocco,2,0,FRIENDLY
2022-06-09,Argentina,Saudi Arabia,2,0,QUALIFIER
2018-11-10,Mexico,England,0,2,FRIENDLY
2023-07-28,England,Japan,1,0,FRIENDLY
2020-08-15,Australia,Cameroon,4,0,QUALIFIER
2019-06-27,Qatar,Brazil,1,2,QUALIFIER
2018-04-17,Cameroon,Qatar,9,2,QUALIFIER
2018-02-21,Germany,Poland,3,2,QUALIFIER
2023-07-20,Costa Rica,Uruguay,0,2,FRIENDLY
2018-11-19,Spain,Mexico,3,1,QUALIFIER
2025-11-21,France,Uruguay,2,0,FRIENDLY
2022-04-23,Belgium,England,0,0,WC_FINAL
2026-02-23,Japan,Switzerland,0,0,FRIENDLY
2025-06-30,Germany,Spain,1,0,QUALIFIER
2019-10-27,Ecuador,Morocco,0,6,QUALIFIER
2024-01-19,Belgium,Argentina,1,0,QUALIFIER
2023-07-05,Belgium,Morocco,1,1,QUALIFIER
2018-02-20,Germany,Uruguay,0,5,CONFED_CAMP
2018-09-13,Cameroon,Colombia,3,0,CONFED_CAMP
2020-06-05,Ghana,Colombia,2,0,CONFED_CAMP
2021-07-01,Saudi Arabia,Switzerland,0,0,FRIENDLY
2026-05-19,Tunisia,Australia,5,1,WC_FINAL
2020-12-16,Iran,Croatia,0,0,QUALIFIER
2019-05-18,Tunisia,Australia,0,0,CONFED_CAMP
2023-08-13,Mexico,Argentina,0,3,CONFED_CAMP
2020-08-30,Saudi Arabia,Japan,1,0,FRIENDLY
2019-11-23,Poland,Portugal,2,3,QUALIFIER
2024-09-14,Brazil,Iran,1,0,FRIENDLY
2024-11-23,Croatia,Spain,0,0,QUALIFIER
2026-04-11,Australia,Morocco,4,0,QUALIFIER
2018-05-29,Qatar,Portugal,2,0,QUALIFIER
2025-07-14,Argentina,Iran,2,1,QUALIFIER
2021-12-28,Poland,Denmark,2,0,QUALIFIER
2023-07-10,Denmark,Canada,3,1,QUALIFIER
2021-03-26,Costa Rica,Croatia,0,1,FRIENDLY
2024-05-25,Spain,Croatia,1,0,QUALIFIER
2026-02-02,South Korea,Denmark,0,3,QUALIFIER
2018-07-29,Morocco,Netherlands,0,1,FRIENDLY
2018-05-21,Spain,Senegal,0,0,FRIENDLY
2020-04-28,Switzerland,Australia,0,0,FRIENDLY
2020-10-23,England,South Korea,1,2,QUALIFIER
2021-09-11,Japan,Cameroon,1,0,CONFED_CAMP
2019-09-19,Switzerland,Canada,0,0,QUALIFIER
2018-07-29,Argentina,Cameroon,0,0,QUALIFIER
2025-01-06,Senegal,Uruguay,2,3,QUALIFIER
2022-07-12,Colombia,Poland,7,0,WC_FINAL
2019-07-31,Croatia,Ghana,0,1,CONFED_CAMP
2018-02-08,Costa Rica,Spain,0,4,FRIENDLY
2020-02-08,USA,Colombia,0,0,QUALIFIER
2019-12-14,Poland,USA,4,1,QUALIFIER
2019-10-07,South Korea,Australia,1,0,FRIENDLY
2020-12-24,Ecuador,Senegal,0,3,WC_FINAL
2026-01-19,Netherlands,Spain,1,3,QUALIFIER
2024-03-21,Uruguay,Switzerland,0,3,CONFED_CAMP
2022-11-04,Argentina,Canada,1,2,FRIENDLY
2019-09-29,Australia,Serbia,1,2,QUALIFIER
2018-05-29,Tunisia,Germany,1,1,FRIENDLY
2022-01-23,Poland,France,0,0,QUALIFIER
2025-01-15,Qatar,Morocco,0,3,FRIENDLY
2020-10-17,Japan,Netherlands,3,0,CONFED_CAMP
2022-09-17,USA,Ghana,4,2,QUALIFIER
2026-01-02,Ghana,Brazil,0,1,FRIENDLY
2019-11-05,Ghana,USA,1,0,FRIENDLY
2025-02-12,Denmark,Netherlands,5,0,QUALIFIER
2021-12-29,Uruguay,Portugal,0,4,QUALIFIER
2023-07-11,Canada,Spain,4,1,QUALIFIER
2022-06-18,Australia,Colombia,0,0,FRIENDLY
2025-01-06,Australia,Croatia,0,0,QUALIFIER
2021-12-23,Mexico,Netherlands,0,1,QUALIFIER
2018-04-10,Denmark,Costa Rica,1,0,FRIENDLY
2019-07-09,Croatia,Portugal,1,1,QUALIFIER
2021-11-24,Serbia,Canada,0,2,CONFED_CAMP
2026-01-17,South Korea,Costa Rica,1,0,WC_FINAL
2018-04-14,Uruguay,Denmark,2,5,FRIENDLY
2025-02-16,Netherlands,Tunisia,2,0,QUALIFIER
2024-09-05,Argentina,Denmark,0,1,FRIENDLY
2023-09-27,Belgium,Poland,2,0,CONFED_CAMP
2019-07-03,Costa Rica,Croatia,0,0,FRIENDLY
2023-10-30,Croatia,Australia,5,2,FRIENDLY
2021-11-12,Portugal,Saudi Arabia,5,0,FRIENDLY
2020-04-05,Spain,Uruguay,2,0,FRIENDLY
2020-11-05,Spain,Iran,0,0,FRIENDLY
2019-09-28,Ghana,Argentina,0,0,WC_FINAL
2024-07-26,Saudi Arabia,Croatia,0,1,FRIENDLY
2021-07-18,USA,France,2,0,QUALIFIER
2023-02-14,Japan,Iran,0,1,QUALIFIER
2025-12-16,Switzerland,Mexico,0,7,QUALIFIER
2024-03-27,Belgium,Portugal,0,0,FRIENDLY
2021-11-07,Canada,Portugal,4,1,CONFED_CAMP
2024-10-24,Cameroon,Ghana,2,0,QUALIFIER
2022-03-29,Serbia,South Korea,1,1,CONFED_CAMP
2018-04-04,Saudi Arabia,Mexico,2,0,WC_FINAL
2024-10-24,France,Croatia,0,0,QUALIFIER
2018-09-12,Ecuador,Australia,2,0,FRIENDLY
2024-09-25,Poland,Cameroon,5,1,FRIENDLY
2018-11-14,Tunisia,Belgium,0,2,QUALIFIER
2024-10-10,Spain,Ecuador,0,3,QUALIFIER
2023-02-02,Tunisia,Saudi Arabia,2,0,WC_FINAL
2020-12-17,France,Australia,0,1,CONFED_CAMP
2019-01-30,South Korea,Morocco,1,2,QUALIFIER
2019-12-27,Denmark,Canada,0,4,QUALIFIER
2024-03-19,Qatar,Costa Rica,2,1,CONFED_CAMP
2018-07-31,Denmark,Spain,1,0,WC_FINAL
2023-10-14,Brazil,Portugal,1,0,QUALIFIER
2019-02-08,Costa Rica,Croatia,4,0,CONFED_CAMP
2023-10-17,Senegal,Croatia,0,0,WC_FINAL
2021-10-15,Poland,Argentina,0,3,CONFED_CAMP
2019-10-14,Japan,Switzerland,1,3,FRIENDLY
2023-06-02,Denmark,Croatia,2,1,QUALIFIER
2025-02-16,Senegal,Switzerland,2,0,CONFED_CAMP
2020-09-02,Cameroon,Germany,5,2,CONFED_CAMP
2022-09-20,Iran,Serbia,0,0,FRIENDLY
2019-07-20,Australia,Canada,1,2,CONFED_CAMP
2024-07-18,Canada,Australia,3,0,FRIENDLY
2019-12-06,Argentina,Morocco,1,0,WC_FINAL
2021-08-17,Canada,Croatia,0,1,WC_FINAL
2019-04-04,Argentina,Australia,2,3,FRIENDLY
2022-09-12,Colombia,Switzerland,0,0,FRIENDLY
2019-07-19,Serbia,England,1,0,QUALIFIER
2018-10-27,Mexico,Tunisia,1,4,QUALIFIER
2021-12-07,Brazil,Colombia,0,4,FRIENDLY
2020-10-03,Costa Rica,Australia,0,1,QUALIFIER
2022-06-06,Japan,Costa Rica,4,0,QUALIFIER
2024-07-09,USA,Spain,3,2,FRIENDLY
2023-11-27,Serbia,Morocco,0,1,QUALIFIER
2023-04-28,Japan,Netherlands,0,0,WC_FINAL
2021-08-10,Denmark,Brazil,2,1,QUALIFIER
2018-07-19,Argentina,Denmark,2,4,WC_FINAL
2022-09-21,Denmark,Colombia,1,3,FRIENDLY
2025-12-31,Iran,Poland,1,2,CONFED_CAMP
2023-04-27,Tunisia,Poland,1,0,QUALIFIER
2021-03-08,South Korea,Serbia,0,0,QUALIFIER
2025-01-18,Cameroon,Costa Rica,5,1,QUALIFIER
2018-08-09,France,Spain,1,1,CONFED_CAMP
2024-07-18,Uruguay,Senegal,0,0,QUALIFIER
2018-06-19,Senegal,Colombia,4,1,WC_FINAL
2022-08-09,Netherlands,Australia,2,0,FRIENDLY
2021-11-21,Mexico,South Korea,0,0,QUALIFIER
2019-11-10,Morocco,Colombia,5,0,QUALIFIER
2023-03-14,USA,Colombia,0,0,QUALIFIER
2024-03-18,Mexico,Poland,0,5,CONFED_CAMP
2019-11-05,Germany,Morocco,0,0,QUALIFIER
2023-07-13,Cameroon,Senegal,1,3,FRIENDLY
2021-10-04,South Korea,Tunisia,0,0,FRIENDLY
2020-12-08,Poland,Switzerland,0,1,QUALIFIER
2021-09-21,Argentina,Australia,0,0,FRIENDLY
2026-05-05,Ecuador,Japan,0,3,FRIENDLY
2022-03-31,Cameroon,Australia,2,0,FRIENDLY
2023-09-27,Ecuador,Tunisia,2,0,FRIENDLY
2019-02-05,Argentina,Canada,3,0,QUALIFIER
2025-02-10,Brazil,England,1,1,QUALIFIER
2024-10-06,South Korea,Netherlands,3,0,QUALIFIER
2024-11-21,Poland,Australia,1,2,CONFED_CAMP
2018-05-28,Canada,South Korea,1,0,FRIENDLY
2026-02-07,Costa Rica,Uruguay,1,2,CONFED_CAMP
2023-01-28,Serbia,Spain,0,1,QUALIFIER
2020-07-25,Poland,USA,4,1,FRIENDLY
2023-09-12,Poland,Morocco,4,1,FRIENDLY
2019-11-15,Tunisia,England,0,2,QUALIFIER
2025-09-01,Denmark,Spain,1,0,WC_FINAL
2019-07-04,Australia,Poland,1,2,FRIENDLY
2024-05-03,Belgium,Australia,0,2,FRIENDLY
2018-12-22,Denmark,Switzerland,0,1,QUALIFIER
2023-02-09,Croatia,Costa Rica,0,4,QUALIFIER
2021-01-05,Qatar,Denmark,2,1,QUALIFIER
2020-01-12,Germany,Serbia,1,5,CONFED_CAMP
2024-10-29,Argentina,Iran,2,5,CONFED_CAMP
2018-10-08,Costa Rica,Denmark,0,0,QUALIFIER
2022-08-07,Portugal,Spain,1,3,QUALIFIER
2019-03-31,Senegal,Argentina,0,5,QUALIFIER
2019-01-21,Mexico,Belgium,0,0,FRIENDLY
2019-07-15,France,Canada,1,0,WC_FINAL
2022-07-15,Qatar,Brazil,1,0,FRIENDLY
2024-04-10,Cameroon,Switzerland,1,4,FRIENDLY
2025-09-09,Canada,Japan,4,3,QUALIFIER
2021-06-29,Netherlands,Germany,4,8,WC_FINAL
2021-12-24,Switzerland,Portugal,0,2,CONFED_CAMP
2024-06-07,Colombia,Germany,0,1,FRIENDLY
2022-04-11,Argentina,Germany,2,0,QUALIFIER
2020-03-27,Costa Rica,Cameroon,9,0,QUALIFIER
2024-11-13,Mexico,South Korea,0,2,QUALIFIER
2023-08-12,Costa Rica,Germany,8,2,QUALIFIER
2022-03-12,Cameroon,Colombia,1,2,QUALIFIER
2022-06-30,Senegal,Brazil,0,1,QUALIFIER
2021-04-08,South Korea,Ghana,0,0,CONFED_CAMP
2020-09-24,Saudi Arabia,Switzerland,1,6,QUALIFIER
2019-03-27,Australia,Iran,0,0,QUALIFIER
2024-05-06,Germany,Denmark,0,0,QUALIFIER
2023-06-17,Germany,Uruguay,2,1,QUALIFIER
2018-01-07,Portugal,Costa Rica,0,1,QUALIFIER
2020-07-20,Colombia,Belgium,3,0,QUALIFIER
2018-06-15,Tunisia,Portugal,1,2,QUALIFIER
2026-02-19,Uruguay,Saudi Arabia,0,7,CONFED_CAMP
2025-11-01,Serbia,Morocco,0,1,QUALIFIER
2018-06-28,Canada,Australia,3,1,QUALIFIER
2019-06-16,South Korea,France,0,0,CONFED_CAMP
2023-03-25,France,Canada,2,0,QUALIFIER
2024-12-20,Tunisia,USA,0,0,QUALIFIER
2020-08-17,Germany,Tunisia,1,1,QUALIFIER
2018-01-02,Colombia,England,1,3,QUALIFIER
2018-06-18,Netherlands,Morocco,0,3,QUALIFIER
2025-11-22,Serbia,Switzerland,0,0,QUALIFIER
2025-03-09,Mexico,Portugal,3,2,QUALIFIER
2019-02-27,Brazil,Netherlands,0,0,WC_FINAL
2019-08-05,Mexico,Australia,2,0,QUALIFIER
2025-05-27,Uruguay,France,4,0,QUALIFIER
2023-08-12,South Korea,Brazil,0,2,QUALIFIER
2023-04-29,South Korea,Ghana,0,1,QUALIFIER
2023-02-07,Switzerland,Mexico,4,0,QUALIFIER
2022-03-26,Portugal,Switzerland,7,1,FRIENDLY
2020-08-14,Iran,Japan,0,0,QUALIFIER
2022-08-08,Morocco,Ghana,2,1,FRIENDLY
2018-01-25,Denmark,Ghana,0,0,QUALIFIER
2020-09-14,Spain,Costa Rica,1,2,QUALIFIER
2020-07-23,Ghana,Senegal,2,6,QUALIFIER
2023-06-15,Argentina,Portugal,0,0,CONFED_CAMP
2023-10-22,South Korea,Belgium,2,2,CONFED_CAMP
2018-05-31,Switzerland,Poland,0,0,FRIENDLY
2023-04-04,Australia,France,0,1,QUALIFIER
2020-02-26,Poland,Denmark,3,1,WC_FINAL
2021-10-20,France,Uruguay,0,0,CONFED_CAMP
2024-02-02,Colombia,Argentina,0,8,QUALIFIER
2024-12-05,Qatar,England,2,0,QUALIFIER
2018-05-15,Japan,Qatar,1,1,FRIENDLY
2021-07-25,France,Canada,0,1,WC_FINAL
2019-07-04,Japan,Ghana,1,0,FRIENDLY
2024-11-03,Germany,Brazil,0,1,FRIENDLY
2023-10-14,Colombia,Senegal,3,0,FRIENDLY
2021-10-17,Qatar,France,2,0,CONFED_CAMP
2024-04-01,Cameroon,Ghana,0,2,QUALIFIER
2025-06-09,Uruguay,Iran,0,1,CONFED_CAMP
2020-06-19,South Korea,Argentina,5,0,FRIENDLY
2022-06-03,Iran,England,2,0,FRIENDLY
2025-11-24,Croatia,Morocco,0,1,QUALIFIER
2018-12-25,Tunisia,England,0,0,QUALIFIER
2025-07-02,Mexico,Qatar,7,0,QUALIFIER
2024-02-06,USA,Portugal,2,1,QUALIFIER
2026-03-12,Qatar,Canada,0,0,QUALIFIER
2024-12-02,Serbia,Ecuador,2,0,CONFED_CAMP
2018-04-06,Japan,Morocco,1,1,QUALIFIER
2023-10-01,Serbia,Argentina,2,2,QUALIFIER
2019-03-28,Ghana,Netherlands,2,0,FRIENDLY
2020-06-18,Australia,Switzerland,2,0,QUALIFIER
2024-08-14,Spain,Portugal,0,1,WC_FINAL
2021-07-16,Qatar,USA,0,2,FRIENDLY
2023-11-30,Costa Rica,Colombia,1,0,QUALIFIER
2026-03-06,Morocco,South Korea,5,4,QUALIFIER
2025-06-14,Mexico,Argentina,0,4,FRIENDLY
2019-05-03,Colombia,Japan,5,0,WC_FINAL
2021-01-19,Spain,Australia,0,2,CONFED_CAMP
2021-04-09,Serbia,France,0,0,FRIENDLY
2024-01-28,Belgium,Switzerland,0,0,QUALIFIER
2018-02-27,Poland,Qatar,1,4,FRIENDLY
2025-02-22,Spain,Switzerland,0,2,CONFED_CAMP
